orders_id,item_price,quantity,item_category,item_name,created_date,created_at,delivery_address1,delivery_address2,delivery_city,delivery_zipcode,delivery
1,14,8,Pizza,"Pizza Margherita Large",2023-01-01,11:44:56,"9 Utah Court","Apt 238",Queens,0007Q,1
2,6,7,Side,"Garlic Bread",2023-01-01,11:44:56,"9 Utah Court","Apt 238",Queens,0007Q,1
3,18,3,Pizza,"Pizza Parmigiana Large",2023-01-01,11:44:56,"9 Utah Court","Apt 238",Queens,0007Q,1
4,18,1,Pizza,"Pizza Parmigiana Large",2023-01-01,11:44:56,"9 Utah Court","Apt 238",Queens,0007Q,1
5,18,6,Pizza,"Pizza Napolitana Large",2023-01-01,11:44:56,"9 Utah Court","Apt 238",Queens,0007Q,1
6,6,4,Dessert,"Strawberry Ice Cream",2023-01-01,12:43:00,"2368 Menomonie Point","Room 910",Brooklyn,0005B,1
7,6,4,Beverage,"Coca Cola 1.5l",2023-01-01,12:43:00,"2368 Menomonie Point","Room 910",Brooklyn,0005B,1
8,16,2,Pizza,"Pizza Napolitana Regular",2023-01-01,12:43:00,"2368 Menomonie Point","Room 910",Brooklyn,0005B,1
9,3,6,Beverage,"Diet Coke 33cl",2023-01-01,12:43:00,"2368 Menomonie Point","Room 910",Brooklyn,0005B,1
10,6,6,Beverage,"7 Up 1.5l",2023-01-01,12:03:27,"1 Lighthouse Bay Plaza",,Bronx,0004B,0
11,4,6,Beverage,"Sparkling Water 1.5l",2023-01-01,12:03:27,"1 Lighthouse Bay Plaza",,Bronx,0004B,0
12,19,6,Pizza,"Pizza Diavola Large",2023-01-01,12:03:27,"1 Lighthouse Bay Plaza",,Bronx,0004B,0
13,6,6,Dessert,"Vanilla Ice Cream",2023-01-01,20:33:41,"99 Continental Pass",,Bronx,0004B,1
14,3,1,Beverage,"Coca Cola 33cl",2023-01-01,20:33:41,"99 Continental Pass",,Bronx,0004B,1
15,6,5,Beverage,"Coca Cola 1.5l",2023-01-01,20:33:41,"99 Continental Pass",,Bronx,0004B,1
