item_name,ing_id,ing_name,ing_weight,ing_price,recipe_quantity,order_quantity,ordered_weight,unit_cost,ingredient_cost
"Pizza Margherita Large",ING004,Oregano,500,5.99,3,451,1353,0.01,16.21
"Pizza Margherita Large",ING003,Mozzarella,2500,14.45,13,451,5863,0.01,33.89
"Pizza Margherita Large",ING002,"Tomato Sauce",4500,3.89,15,451,6765,0,5.85
"Pizza Margherita Large",ING001,"Pizza Base",2000,4.22,60,451,27060,0,57.1
"Garlic Bread",ING022,Parsley,2500,5.25,5,432,2160,0,4.54
"Garlic Bread",ING021,"Garlic butter",1250,34.45,3,432,1296,0.03,35.72
"Garlic Bread",ING020,Bread,3000,69.83,15,432,6480,0.02,150.83
"Garlic Bread",ING019,Clabatta,2000,52.1,5,432,2160,0.03,56.27
"Pizza Parmigiana Large",ING008,"Parmesan Cheese",2500,18.75,20,437,8740,0.01,65.55
"Pizza Parmigiana Large",ING007,Eggplants,1000,1.9,15,437,6555,0,12.45
"Pizza Parmigiana Large",ING003,Mozzarella,2500,14.45,6,437,2622,0.01,15.16
"Pizza Parmigiana Large",ING001,"Pizza Base",2000,4.22,60,437,26220,0,55.32
"Pizza Napolitana Large",ING012,Capers,1000,4.16,10,450,4500,0,18.72
"Pizza Napolitana Large",ING011,Anchovies,1000,10.99,15,450,6750,0.01,74.18
"Pizza Napolitana Large",ING003,Mozzarella,2500,14.45,5,450,2250,0.01,13
"Pizza Napolitana Large",ING001,"Pizza Base",2000,4.22,60,450,27000,0,56.97
"Strawberry Ice Cream",ING030,Strawberry,4000,20.99,5,419,2095,0.01,10.99
"Strawberry Ice Cream",ING027,Milk,100,11.25,15,419,6285,0.11,707.06
"Coca Cola 1.5l",ING039,"Coca Cola Regular",10000,3.6,50,440,22000,0,7.92
"Pizza Napolitana Regular",ING012,Capers,1000,4.16,5,385,1925,0,8.01
"Pizza Napolitana Regular",ING011,Anchovies,1000,10.99,10,385,3850,0.01,42.31
"Pizza Napolitana Regular",ING003,Mozzarella,2500,14.45,4,385,1540,0.01,8.9
